@id,@lon,@lat,name,fuel:diesel,operator,brand,tenant,opening_hours,payment:cash,payment:mastercard,payment:visa,payment:diners_club,payment:maestro,fuel:octane_95,fuel:octane_98,fuel:lpg,building=yes,building:roof,covered=yes,rating,numRating
2260122834,20.958756,41.986615,Окта,,,,,,,,,,,,,,,,,,
2382384705,20.9445332,41.9234042,Нептун Петрол,,,,,,,,,,,,,,,,,,
2574272025,22.3025336,42.189123,Макоил,,,,,,,,,,,,,,,,,,
2622774330,22.6416485,41.4490785,Лукоил,yes,Lukoil,Lukoil,,,,,,,,yes,yes,yes,,,,,
3162787162,22.446163,41.629196,Jovan Petrol,,,,,,,,,,,,,,,,,,
3635690653,21.5553924,41.3325734,Салида,,,,,,,,,,,,,,,,,,
3781556758,22.4801699,41.2504123,РТ Петрол,,,,,,,,,,,,,,,,,,
3782679107,22.6533872,41.439391,Бензоил,,,,,,,,,,,,,,,,,,
3784770410,22.6354573,41.4744482,ТритеролБенз,,,,,,,,,,,,,,,,,,
3784770413,22.6392652,41.451941,ГамаОил,,,,,,,,,,,,,,,,,,
3786019602,22.5187978,41.5807256,Макпетрол,,,,,,,,,,,,,,,,,,
3789130262,21.4941204,41.9482661,РТ Петрол,,,,,,,,,,,,,,,,,,
3804952223,21.4928064,41.9918127,Мотоцентар,,,,,,,,,,,,,,,,,,
3804952226,21.4963956,41.9900511,АП Петрол,,,,,,,,,,,,,,,,,,
4247659190,20.8890852,41.8523365,TopPetrol,,,,,24/7,,,,,,,,,,,,,
4401013232,22.5325294,41.1431342,Лукоил,,Лукоил,,,,,,,,,,,,,,,,
4502456689,20.9269459,41.9406016,Fer Petrol,,,,,,,,,,,,,,,,,,
4502469394,20.9335882,41.9633441,HitOil,,,,,,,,,,,,,,,,,,
4739771021,21.4606362,42.0017496,Дома,,Bojan Stankovski,,,24/7,,,,,,,,,,,,,
4912937823,21.0341449,42.0547506,Европа92,,,,,,,,,,,,,,,,,,
4966623121,21.7026465,42.1332218,Makpetrol,,,,,,,,,,,,,,,,,,
5058440822,22.4012236,41.903915,Лукойл,,,Лукойл,,24/7,,,,,,,,,,,,,
5575843521,21.0740175,41.988617,Лукоил,,,,,,,,,,,,,,,,,,
5584459881,21.4039653,42.0023986,Макпетрол,yes,,,,24/7,,,,,,yes,,yes,,,,,
5761128526,21.0080685,41.0818302,Митоил,,,,,,,,,,,,,,,,,,
6054048518,21.7455624,42.162411,Peak,,,,,,,,,,,,,,,,,,
6054049816,21.7378519,42.1624284,Авиа оил,,,,,,,,,,,,,,,,,,
6080715746,21.451282,41.9842064,Макпетрол,,,,,,,,,,,,,,,,,,
6287211825,21.4289322,42.0301064,okτΔ,,,,,,,,,,,,,,,,,,
6510208920,21.68889,41.8837172,Макпетрол,,,Макпетрол,,,,,,,,,,,,,,,
6581560346,21.3576341,41.0081497,CRP,,,,,,,,,,,,,,,,,,
6812539185,20.9004303,41.7952788,Бунар Петрол,,,,,24/7,,,,,,,,,,,,,
6830542189,20.9070117,41.8080834,Bunar Petrol,,,,,,,,,,,,,,,,,,
6830542191,20.9509279,41.5887298,Tivoli Petrol,,,,,,,,,,,,,,,,,,
6830542196,20.7682627,41.2293893,Eko Petrol,,,,,,,,,,,,,,,,,,
6830542292,20.9518182,41.5159681,Power Patrol,,,,,,,,,,,,,,,,,,
6830542295,20.809137,41.1254011,Zran Peka,,,,,,,,,,,,,,,,,,
6837039809,20.6513986,41.1722189,Gulf,,,,,,,,,,,,,,,,,,
7058905685,21.5432026,41.9941052,Дени Интернационал,,,,,,,,,,,,,,,,,,
1.00E+15,21.4605883,42.0020443,Макпетрол,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,,,,,,
1.00E+15,21.7131739,42.1331058,Лукоил,,,,,,,,,,,,,,,,,,
1.00E+15,21.4202508,41.9944805,Makpetrol,,,,,,,,,,,,,,,,,,
1.00E+15,21.4261042,41.9997035,Макпетрол,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,,,,,,
1.00E+15,21.4474034,41.9967473,Макпетрол,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,,,,,,
1.00E+15,21.4336432,42.0239318,Макпетрол Топпански,,,,,,,,,,,,,,,,,,
1.00E+15,21.4004927,42.007664,Макпетрол Илинденска,yes,Макпетрол,Макпетрол,,24/7,yes,yes,yes,yes,,yes,yes,yes,,,,,
1.00E+15,21.3961518,42.003558,Окта,,,,,24/7,,,,,,,,,,,,,
1.00E+15,21.5699023,41.9690102,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,22.4490918,41.914097,Авто Петрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.8976322,41.4435069,Макпетрол,yes,,Макпетрол,,,,,,,,yes,,,,,,,
1.00E+15,21.6783296,41.3700379,Алми Петрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.4817597,41.1658102,МакПетрол Добрушево,,,,,,,,,,,,,,,,,,
1.00E+15,21.5039573,41.2106597,МакПетрол,,,,,,,,,,,,,,,,,,
1.00E+15,20.7486365,41.1821559,Диме Петрол,,,,,,,,,,,,,,,,,,
1.00E+15,20.7503989,41.1597917,МакПетрол,,,,,,,,,,,,,,,,,,
1.00E+15,20.7730836,41.1355039,МакПетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.340768,41.3353577,МакПетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.338055,41.3356642,Буне Петрол,,,,,,,,,,,,,,,,,,
1.00E+15,22.5021231,41.1462897,МакПетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.4809778,42.0047042,Lukoil,,,,,,,,,,,,,,,,,,
1.00E+15,21.4623562,42.0007697,Лукоил,,,,,,,,,,,,,,,,,,
1.00E+15,20.9509902,41.5006599,Lukoil,yes,,Lukoil,,,,,,,,yes,yes,yes,,,,,
1.00E+15,20.9525117,41.5185715,Makpetrol,yes,,,,,,,,,,yes,yes,yes,,,,,
1.00E+15,21.5294649,41.3481627,НиТ,,,,,,,,,,,,,,,,,,
1.00E+15,21.8314061,41.6860318,Макоил,,,,,,,,,,,,,,,,,,
1.00E+15,20.6865667,41.210752,Окта,,,,,,,,,,,,,,,,,,
1.00E+15,21.2982254,41.038167,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.347836,41.0132549,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.3449822,41.0377568,Макоил,yes,,,,,,,,,,yes,,,,,,,
1.00E+15,21.3477268,41.0461569,ЛукОил 11,yes,,Lukoil,,,,,,,,yes,yes,yes,,,,,
1.00E+15,21.5398942,41.3548434,Салида,yes,,,,24/7,,,,,,yes,yes,yes,,,,,
1.00E+15,21.5517917,41.3481911,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.5304875,41.3557863,Окта,yes,,,,,,,,,,yes,yes,yes,,,,,
1.00E+15,22.5452712,41.1377771,Макпетрол,,Макпетрол,,,,,,,,,,,,,,,,
1.00E+15,22.4834722,41.2470472,РТ Петрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.9263279,41.5817973,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.7786263,41.7400821,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.6888143,41.8837237,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.378003,41.4517618,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.7043328,42.1212352,Лукоил,,,,,,,,,,,,,,,,,,
1.00E+15,21.5795435,41.3557439,ЛукОил 004,yes,ЛукОил Македонија,ЛукОил,,24/7,yes,yes,,,,yes,yes,yes,,,,,
1.00E+15,21.5408936,41.3441318,Џет Оил,,,,,,,,,,,,,,,,,,
1.00E+15,21.3959977,41.9944414,Макпетрол Козле,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,yes,,,,,
1.00E+15,21.4045083,41.9967665,Макпетрол,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,,,,,,
1.00E+15,22.7720366,41.9733726,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,22.7697457,41.9746315,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.2165546,41.5071782,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,20.963513,42.0041354,HitOil,yes,,HitOil,,,,,,,,yes,yes,yes,,,,,
1.00E+15,20.9612152,41.9986729,Макпетрол,,,,,,,,,,,,,,,,,,
1.00E+15,21.3764798,42.0595281,Besa Petrol,,Besa Petrol,Besa Petrol,,,,,,,,,,,,,,,
1.00E+15,21.4729435,41.9875079,Лукoил,yes,Лукoил,Lukoil,,24/7,,,,,,yes,yes,yes,,,,,
1.00E+15,21.4203879,41.9944977,Макпетрол,yes,Makpetrol,Макпетрол,,24/7,,yes,yes,yes,,yes,yes,,,,,,
